UserId,ItemId
10,2464 1386 1193 2022 1575 2312 2536 457 465 2235 2885 18 1520 663 1013 1956 3237 1307 2760 2537 3189 776 3209 1048 1268 2706 2024 1185 719 2458 1200 2940 2350 1693 277 1213 968 2013 662 2380 1835 1102 2695 2651 2320 767 598 2463 584 907 
11,2350 2470 2885 803 1714 2964 2111 232 1371 1386 2022 3059 2976 2320 470 964 465 924 2750 1784 1770 100 1818 532 2198 1402 988 3003 987 3090 748 2108 3049 1695 814 1013 2652 2875 2995 497 48 115 2361 2359 2841 3194 2986 1973 45 1560 
12,938 1575 2546 231 1224 2959 3241 3210 1197 1686 1474 505 2464 2866 2406 1450 734 458 2312 2351 2089 1470 1237 1268 91 2474 1861 3080 2885 1045 2431 1405 945 2631 1059 2193 1156 3221 1895 856 119 2930 2022 1005 2537 987 954 629 2392 1949 
13,319 2887 1154 954 692 3167 2957 1002 2866 1596 3210 2164 2431 1299 244 91 1518 539 2406 710 856 1117 3028 2959 673 990 2297 2413 938 2550 916 1896 2113 1641 1054 2196 3194 676 1901 1129 2 1821 987 2977 2889 2446 2811 1855 3042 836 
14,2470 2885 2350 2320 1804 1575 1268 1770 2182 719 2022 1200 2726 1195 651 2395 2537 2810 465 2464 1386 1213 964 2232 1784 1185 2111 865 2652 147 2070 2541 2937 1048 2193 1941 1455 1612 275 1722 517 2958 294 2380 2964 1837 1520 1956 2616 3237 
15,1194 2173 2977 1612 2262 655 1137 2908 1339 1020 91 2305 863 987 2744 2799 706 2885 942 3250 1578 2411 2652 1063 1129 468 512 2088 2749 2841 2541 954 1956 100 2413 2182 2086 1281 1470 2163 845 1299 2129 1474 2236 856 2875 2933 422 2866 
16,167 2127 2299 2855 1673 1857 1575 1156 2757 2899 2537 2185 2997 2312 465 505 2885 2652 697 1290 938 1031 1295 1307 2645 275 865 486 1422 1861 2351 1197 2464 1034 471 2664 2022 1812 333 1474 2940 1734 968 571 2350 2470 358 672 1868 1195 
17,2652 2937 2350 1117 1714 2885 1386 2022 2470 192 2726 2351 3241 3059 2111 1289 1106 1990 803 868 2302 2057 2320 1575 2875 2964 2688 465 2428 2537 1268 1370 1200 2933 1643 1722 2193 2977 1770 91 100 532 1602 2649 856 2670 2182 945 381 1474 
18,1053 2403 1677 2144 2549 412 1198 1336 3178 871 1586 2464 1307 2458 2022 2039 898 702 750 465 1386 3026 3071 1889 2536 2831 3142 2855 1949 706 457 1616 77 3032 1575 999 2339 938 2190 2221 1857 695 3078 2940 697 1920 830 2547 1870 767 
19,865 639 275 1474 2039 465 1681 517 2351 1307 2885 2940 2022 1443 1197 1156 505 1868 2320 1185 2855 1575 1784 2537 333 1880 719 702 2464 2117 2382 2312 1386 1673 2823 3078 697 471 2827 3118 637 698 706 2541 3209 3031 1949 968 2664 2804 
20,1060 517 1443 255 2616 1956 491 100 2320 1784 1102 1386 2541 18 1567 1579 2012 1357 2885 521 2022 2578 644 380 3049 3073 2750 385 987 1245 2650 1818 465 1290 1983 2472 870 3209 748 2035 3229 2359 2726 2464 3022 2470 2693 1498 168 48 
21,1575 2537 2845 2833 1868 865 2837 719 231 2380 275 2527 2651 1200 2233 2312 637 505 2193 976 1268 384 1715 2455 2392 3142 146 2200 2339 2306 2463 1185 3031 676 1861 1455 1325 1755 1383 522 2351 1092 1635 1409 1474 712 1812 706 1722 830 
22,2222 387 1677 1034 1923 1979 167 2208 2781 1290 2622 770 703 1417 2536 739 296 3026 663 3071 938 1505 471 2100 3190 385 457 3216 1197 1563 1756 3207 2483 2350 2299 1835 277 3182 2855 1295 589 644 3074 3037 2885 2514 1195 176 3068 1922 
23,1575 2651 147 1185 865 1125 2537 3118 294 275 741 2182 719 2470 1868 3040 2320 2805 2885 1213 2845 1755 3220 505 1681 1784 2149 522 2206 2117 3189 830 2837 1804 1268 637 1152 1722 2351 1127 1987 2661 1614 845 2232 1770 651 2193 465 1861 
24,938 2913 167 1305 1156 331 3206 1521 571 1195 1034 651 1295 327 2997 1573 842 2101 2664 1324 2299 1197 589 1745 1184 471 1307 505 465 2855 1422 1614 2757 2483 1218 214 294 706 2602 2330 2700 1857 486 962 2354 13 703 2208 1858 669 
25,2783 2922 485 1260 2030 989 968 3110 1874 1749 849 84 2651 697 299 579 1134 947 1657 2206 716 1786 745 2940 1194 2575 3123 2328 496 1505 117 2845 3229 2738 2645 2537 1105 821 1826 1618 2946 167 988 417 2747 862 1411 624 1861 430 
26,331 167 471 485 1614 1152 454 1195 2398 490 1976 703 465 294 13 2885 505 1430 1298 1290 1656 1001 1877 283 307 1747 2661 2473 938 1521 2470 486 1496 1014 2855 1386 706 346 1613 2651 939 1048 1387 2022 328 1260 697 2979 1307 651 
27,571 13 1720 1795 486 1521 1496 751 1298 919 454 2557 1001 2527 51 1594 1614 3162 2661 2309 423 397 505 585 1414 2113 593 2685 1715 637 3046 300 1195 490 1219 1012 847 1853 1600 1020 1321 2494 1212 2662 766 228 2893 376 331 328 
28,1575 231 954 856 2474 1268 319 1325 243 1896 1686 1474 2431 1861 335 2193 2866 676 2977 825 2196 1317 2115 1002 505 876 655 458 714 2306 2631 337 3241 1224 1855 2297 938 734 2217 1129 358 2811 553 1432 1755 2550 2499 719 2921 1964 
29,3090 3194 2470 3229 2359 988 1013 2885 2361 1901 602 1160 1386 2108 2964 2167 307 2650 338 2155 2111 1714 2371 1204 803 2350 1340 2750 470 1277 770 2807 2022 697 2469 317 2095 1818 964 1770 465 2012 2810 2633 1200 1065 113 272 673 2867 
30,938 2431 2546 505 490 1386 935 2885 2351 1474 1575 2866 2830 331 1614 1733 697 1141 2721 2726 1224 215 1922 1494 1001 2470 2757 2811 2661 1195 3080 362 1197 2977 2631 465 1012 2173 294 1496 1422 91 454 856 2113 2855 3081 2164 2652 3241 
31,954 505 319 1861 1575 751 1896 836 2959 1154 938 231 2113 1268 2297 2977 856 1002 1975 2970 1054 2885 1474 1224 539 465 825 905 3241 335 676 1195 155 458 2648 2887 1325 358 1812 2115 2022 2811 2841 2089 876 2464 2855 2196 167 13 
32,2127 2885 1386 697 232 2844 457 2470 2702 2022 1923 2976 2855 596 1818 2350 465 100 2182 803 2035 1956 115 1197 1922 14 1498 470 2351 2652 1643 938 1857 2353 214 277 2320 964 2163 2750 425 706 942 331 2726 2198 1430 2147 296 1406 
33,2001 2270 2365 1389 28 2756 1406 961 1153 2800 1710 2955 2496 577 983 362 1032 2999 2429 911 1141 1733 1676 3083 353 1763 2577 2263 1539 1859 1169 2721 184 1400 2279 1913 270 2546 1747 1809 917 3118 2146 2305 435 141 809 3150 2237 2794 
34,2537 1575 2940 2312 2845 968 2464 275 1868 1715 3040 719 3176 505 865 1200 2885 2661 465 637 167 1156 2031 2206 294 2527 1455 2024 2351 2022 1770 490 1218 783 1195 1755 2299 2645 496 3031 1185 697 2855 1193 2178 2997 1800 1386 1307 1321 
35,2908 1339 100 1784 2726 2551 1268 2885 783 2320 2875 1020 830 465 2883 122 2652 706 2470 2541 2022 2339 2932 2651 3049 1200 845 1567 1770 454 517 3250 512 1956 1443 765 2841 2750 2163 115 2182 1088 2696 1194 1254 166 3142 1386 116 1474 
36,2810 2565 1152 651 1213 2651 2182 1387 1941 1048 827 732 1268 3189 1613 1976 2931 2844 1984 1804 553 2809 2805 2111 897 590 1852 2380 2385 2368 3116 1507 1055 1362 2217 1861 734 1034 1909 1558 2437 1957 2470 1969 677 525 3106 759 1137 294 
37,651 1575 706 1804 1976 1048 1268 1507 677 1613 2651 98 734 2173 170 444 2805 1197 2217 231 2380 1055 3142 2385 1941 1152 1195 845 553 3189 2182 1213 655 2455 2193 776 1325 2810 1034 1307 2977 2521 1909 505 2921 1349 3106 1063 1475 938 
38,292 3014 2044 1200 2308 2696 1784 2551 2945 2055 62 1770 115 2883 1973 48 964 2325 448 1147 765 1864 2320 3257 3052 1936 603 2147 346 2470 2398 1964 2726 3049 2163 3064 2799 2932 1591 454 280 1129 2875 100 2472 783 2790 1040 68 1695 
39,2100 2706 663 1230 1376 2222 770 277 2831 1860 2536 3109 1341 1505 1619 3207 1197 299 1835 457 2514 1693 3127 176 494 15 2455 2575 1348 2622 1791 2312 1923 1829 706 1424 2940 689 2899 2034 1786 2770 945 1465 86 918 2508 745 992 2013 
40,1575 865 1868 2537 275 2455 845 1020 2971 637 1200 719 465 1784 706 1770 783 1455 1474 2117 505 294 1113 2464 3031 2312 496 490 1185 1881 2885 2940 2173 988 1386 697 1195 3040 2382 2845 3142 2320 2977 2470 975 1648 2351 1399 1056 2392 
41,275 865 1455 719 2537 1784 1868 1185 1681 1575 1200 783 637 1474 698 147 706 1127 2455 1365 1837 2117 280 2232 505 1770 2862 2946 3237 2791 234 3049 1648 2466 1567 1755 676 471 2971 1150 1325 3092 3040 1353 2295 2007 1196 2398 62 3142 
42,2182 2651 1213 2368 651 1362 3189 1575 2193 2350 2417 2225 2805 1377 2111 2320 2958 1055 2810 1529 1701 734 2470 2800 270 1804 1852 3089 1909 1268 1034 266 1922 2908 1480 2299 2734 1861 577 1137 949 1941 1507 2217 457 1241 2163 2024 3236 2726 
43,1920 2350 115 1130 1783 959 1917 988 497 3003 1629 1714 1402 910 1332 1973 3008 1533 1119 2652 1264 48 1494 3059 2025 1145 2649 3241 334 2080 2134 3145 2962 3052 2453 803 240 2369 423 100 3186 2470 192 964 2638 2291 2338 2688 2937 684 
44,1549 1268 677 1055 2810 1941 3189 553 1547 2499 1957 163 2217 776 598 1976 2385 64 405 1613 1387 1152 1213 1861 2076 98 1048 1362 2182 829 590 2072 755 651 732 2805 1137 734 1475 595 3150 876 108 1041 1804 2651 1008 2565 2809 597 
45,954 856 1686 1896 3210 1575 2193 2474 2866 1224 2631 231 337 2316 1002 335 2196 2431 2413 1129 2811 1015 91 1203 2306 1598 3241 998 1325 458 1154 2977 905 714 676 1268 1769 2957 655 825 2115 2089 2362 1317 2887 1755 2889 1964 876 537 
46,2163 3150 2652 2127 115 2470 214 2147 1386 2726 964 3209 961 2885 677 465 2875 1268 2305 2750 2176 2198 2320 2704 1600 1991 942 2298 1200 2855 1941 100 2119 1922 2258 959 454 1224 45 2418 2350 1239 1474 1020 2182 362 1241 1770 1141 2217 
47,2470 465 2885 115 1200 1941 964 48 2696 814 2044 1861 644 988 1268 1770 2807 2320 2384 2652 1567 637 1973 1386 2750 1443 1195 2198 1784 361 2022 2964 490 2971 2693 2862 423 1423 443 2726 2350 2616 783 2937 1745 1377 1474 2217 1156 1197 
48,958 1034 2885 1702 1048 2810 2470 2350 1706 1575 307 2638 1770 2111 2651 1023 2464 1377 1195 2299 2182 2537 465 1200 1749 1213 685 1941 2022 590 2351 2193 964 545 2950 2312 1197 1362 1478 1568 2762 1852 1386 2652 938 1909 651 2934 3189 2320 
49,3110 968 1793 2537 1749 2940 2823 1657 2814 3246 1230 1023 2149 1715 2100 2031 387 1456 3021 1135 579 2278 1949 333 2464 1860 1218 2547 2125 2706 3127 417 2508 2024 3174 494 2312 898 2299 2084 573 662 18 485 1693 3248 294 989 275 1656 
50,712 2514 2651 117 621 2380 830 505 1407 1505 2339 231 167 2855 1189 1325 485 457 714 2575 2805 176 2831 1884 2997 2034 1619 938 655 1734 331 1268 1730 1923 3026 1575 3037 494 1558 1405 1152 2928 2182 2885 1755 2115 845 313 2783 1850 
51,1353 3030 332 676 275 3176 637 719 1575 2971 2845 1743 2178 1203 1868 2537 1215 1795 895 2837 3040 2306 3031 1150 1715 1752 2525 2791 1755 678 783 1347 1196 2476 1170 1455 960 1866 981 1585 2474 865 371 2232 1958 1056 1593 1002 384 164 
52,954 3150 1575 856 1268 905 2977 2811 2431 1896 2887 2113 2546 319 1861 2129 677 335 243 2193 2866 231 1317 1325 1474 1015 1964 1686 3243 2305 2474 2262 1299 458 1797 2413 2297 2115 91 2217 1415 2164 2352 836 676 405 553 505 1054 1154 
53,1575 954 2810 1154 2193 1268 1896 856 91 2111 1129 876 319 1034 1861 2811 2413 2385 2431 553 1362 1941 2885 1213 2217 2470 964 938 1770 2958 1048 2350 231 1002 1804 958 405 2196 2182 1117 465 829 1984 2320 2297 3189 677 2499 1964 2464 
54,1575 1861 2810 1195 1957 2651 2638 598 2380 2350 294 1558 1268 2111 2805 2455 403 2537 1048 443 1130 1941 2470 2521 505 2193 2934 847 712 1684 2902 545 490 1242 1119 553 2852 444 439 2128 2809 2977 384 981 3079 3186 475 3189 486 1984 
55,2514 1637 1185 1575 1829 770 494 689 2180 275 2537 3123 1860 412 333 1917 3010 2831 1411 2005 2536 2940 1134 976 1127 2034 2463 2312 2039 1786 3178 2464 3127 2024 2651 2783 3008 1662 2814 1768 231 1621 2222 1341 865 317 2455 2100 2833 663 
56,2173 1020 422 2411 2522 2002 1165 468 682 1462 1339 845 706 1517 718 1194 1762 1281 1379 1063 863 169 1723 1882 122 3158 2538 1216 2788 356 197 2962 906 2977 1846 1168 2086 1360 2088 3142 2069 2632 2817 764 2652 636 1920 1158 910 3143 
57,1575 1268 865 1868 719 231 505 1455 3237 2474 1547 2537 676 776 2232 637 1681 1755 2182 1722 2499 2726 1200 1185 275 2339 2217 1325 1474 1137 2651 1784 2455 830 976 1891 706 1672 698 1131 2022 1125 1770 2295 2810 2939 2885 975 2115 3142 
58,1975 954 1575 539 1154 856 231 1268 3201 319 676 876 1896 825 2164 1861 2887 1002 2385 2115 505 2113 2959 836 2474 1087 751 3210 613 2193 1224 905 1474 3241 2316 2217 2196 155 1054 1383 1325 2977 2811 2297 1152 2362 1797 2392 358 2225 
59,545 706 2173 1672 2444 2339 2455 401 1688 1618 830 2902 2831 2521 1917 259 1891 505 2075 1005 128 1548 1689 745 471 3186 2174 402 213 1242 3142 1304 3158 1189 307 2879 1020 3079 231 2282 1614 863 2685 2977 1119 1412 1236 2115 845 1264 
60,2810 1268 651 2217 3189 2651 1055 2182 553 403 3178 2809 1475 2805 1505 2417 1185 3008 1213 2537 2072 845 1347 330 1873 1575 2499 2555 1125 964 2931 1152 358 1832 1861 293 2457 3123 1177 1941 1029 1362 702 3220 1243 1987 1348 1127 1804 231 
61,1020 1200 2537 2470 490 1195 2350 988 1575 706 1770 2937 1861 2885 2652 2455 2173 1106 2977 2971 2351 637 2538 2726 1386 845 2862 1868 197 3142 1715 2661 1268 1056 1474 2522 439 505 1635 783 865 1853 443 2312 719 2464 2320 1684 2521 465 
62,2403 1465 412 2039 21 2024 427 3178 702 1336 2464 2804 1193 1637 871 1949 750 3032 329 1013 770 695 767 716 3209 2922 3248 1811 3078 275 2222 1386 2179 2873 2022 1185 77 166 1112 204 1956 1835 3022 2108 1693 1348 859 898 2814 417 
63,2862 2470 865 2937 1106 1635 2320 3220 2688 1200 1784 501 3145 2726 1056 2428 1681 2350 2799 2537 2555 1722 1868 1185 2111 1239 2087 3187 1575 2704 275 2933 964 2117 2661 362 719 2971 1195 100 2649 1770 2295 637 64 1977 490 1197 443 2652 
64,938 45 3241 987 232 2258 2885 239 1268 2546 2841 25 2351 505 214 751 1861 1575 2652 1386 2855 1336 1474 836 1224 1797 1686 1920 465 954 866 1755 2022 3210 905 959 2757 2631 14 2182 2977 358 1596 957 2810 1129 2217 1402 750 2262 
65,1386 2022 2885 2320 2350 465 2726 2616 2652 2464 2541 2470 100 517 987 2750 470 1200 702 1956 1737 1193 1348 2937 1498 2875 521 1818 1465 2855 3209 2351 1268 3241 2964 1371 1575 868 1991 1071 1197 2841 1770 115 1755 2179 2944 719 1443 596 
66,1268 1861 734 2217 1387 651 755 1575 2810 3150 1873 2182 2385 2225 1152 1213 598 553 1547 829 2869 2651 1383 677 2499 732 490 582 1804 751 3009 2565 2431 2546 1474 1941 2763 1969 2537 294 2193 2977 2852 1613 1195 2885 1041 1137 1020 776 
67,1920 2652 2002 422 2470 2369 1212 1020 307 697 468 199 1281 331 938 2127 2351 845 1402 2173 2885 1797 1474 2520 2411 272 1533 2018 2163 2350 2960 1001 2962 725 964 2841 959 465 2111 2309 2419 1656 1019 1145 2726 1332 1320 2478 1529 2977 
68,2320 3237 3209 1386 465 2760 796 1784 1443 2790 2750 783 2885 2470 2350 1770 986 521 1102 3073 1567 598 2198 380 385 2464 517 3236 2726 3022 765 1200 828 1547 2616 1956 2022 767 2126 644 814 3049 1818 1268 454 1193 2944 3189 2855 280 
69,1575 2537 2312 865 2464 275 505 231 1949 2940 496 1868 2514 968 2814 1156 2024 2149 333 719 2885 1185 938 2022 465 2547 1023 1407 412 702 2031 2206 3231 3178 1455 1195 750 1474 2351 1405 1348 3041 2299 1197 1193 1218 1352 494 273 812 
70,1575 2464 465 3209 1770 2022 2885 2812 275 3189 2537 1193 865 457 2312 1443 2320 1200 1386 3236 2805 2024 1130 1268 1307 706 2176 333 2855 1868 1034 1567 2299 1568 2333 2182 2498 1424 734 471 644 1213 2217 1455 1784 2350 3223 1573 2470 651 
71,1034 1986 2536 1677 1307 3037 2222 578 2299 471 2006 2622 1575 1295 960 3068 2902 1417 2455 117 167 1673 340 1505 669 1156 1405 1341 2142 401 1860 277 2066 457 1197 1942 2575 2007 770 363 372 2757 402 296 3026 86 1857 1424 1616 2208 
72,266 59 1024 2724 818 1229 85 2602 2435 1817 1389 1169 2850 2270 311 302 2171 2365 1638 2541 1885 2824 3078 303 431 3089 788 1241 1281 1410 2572 2318 1034 1999 2980 1372 707 103 1159 2749 504 1470 307 259 547 551 324 1305 1956 816 
73,1784 2350 1575 1567 783 471 1200 2726 1770 505 2320 865 454 2470 2455 2006 706 3049 2902 100 1868 275 1088 486 2551 719 3079 2339 2537 2472 3052 346 2885 231 1474 988 637 1365 2883 2044 1964 1147 443 765 1871 1115 1195 2007 2463 384 
74,865 637 2971 706 1868 1784 275 465 2455 988 2022 719 2885 471 1443 2117 2862 2537 2351 1195 1474 2521 505 1567 1386 1200 845 1020 2173 496 2661 2320 1056 2974 3147 443 1575 1812 1455 3220 697 1681 783 2472 2382 1132 515 1770 1307 2611 
75,2622 77 2536 2039 2221 412 1616 3078 999 2464 689 898 2403 1835 3178 3071 639 2547 1134 2180 2144 1660 2024 1677 1193 1693 2092 2497 750 2940 1923 770 2004 3032 2241 697 1459 2831 2222 2312 427 2458 2623 2549 859 1307 608 1949 1778 1386 
76,2111 1034 2885 2470 465 3209 3236 2464 1195 703 770 1386 964 2312 2781 1213 577 651 1706 2299 2706 2810 1197 2022 1747 1922 2350 1001 423 277 2931 2537 663 307 1032 2823 1446 2724 431 1307 1770 333 644 294 3109 1812 814 1193 958 457 
77,1575 2651 2931 651 590 2810 553 1613 1213 1861 1941 2173 1048 582 734 1868 2380 865 2805 2225 1268 2537 2763 1055 1846 845 1041 3220 1452 1362 2312 1200 2385 2217 2182 1307 2499 776 706 637 2464 277 2193 2522 2417 2299 719 2022 1152 2809 
78,2885 2350 2111 2652 2937 964 2470 1386 2464 465 2022 1770 2320 1714 1239 423 2875 1200 2696 2649 868 803 3014 292 3059 2883 2338 2044 2312 814 346 2537 2976 2964 1498 100 1268 2944 2463 48 2384 2790 1706 3130 2351 1818 2726 1973 2810 1195 
79,2885 1386 465 2652 2022 1714 115 2750 454 488 2875 2976 2470 2350 346 1973 2937 2227 2320 2726 423 3059 803 3132 1290 2883 2035 1443 2544 100 448 1818 2176 517 1200 380 2147 532 868 48 2198 2986 2384 3209 2428 3064 2398 964 1770 2111 
80,1268 1336 1861 1909 2940 1755 405 2385 2474 358 2182 2619 1474 3229 2855 2392 987 2217 1575 2190 1137 2128 2306 905 2885 2464 394 2039 876 243 2809 1325 231 1015 954 676 2144 2537 1200 1203 505 639 3210 1185 2514 1507 84 2827 2091 2362 
81,2111 1973 2320 964 2350 2470 100 2696 2428 1239 2883 2799 3014 2933 1784 115 48 3064 2163 2649 2875 2488 2080 1612 2551 423 1238 2726 1254 1292 2147 2308 1026 1990 1147 1770 43 2937 2652 2325 1714 2044 2472 803 3059 2595 1567 2585 765 2545 
82,954 2959 1686 856 1896 1975 825 319 3210 1154 2474 987 2196 2631 2546 358 231 1224 1474 2129 458 1575 876 676 1129 119 2887 2977 1268 3241 2362 2811 2930 1861 1240 1432 1895 938 91 1002 1596 2089 2431 2316 1336 1117 1383 539 394 2413 
83,3236 2320 517 1386 2541 2885 465 1102 1268 2022 3073 1443 454 2012 521 18 2464 380 3237 1193 987 100 2616 2470 255 3130 1956 1245 1784 1770 2750 1818 2472 1060 609 1737 767 2350 1357 3209 3229 1567 491 2726 1486 644 770 2650 1579 1128 
84,2527 749 167 3026 2031 290 505 1430 1218 486 331 939 2940 471 2845 2757 2855 84 2149 1614 294 723 3193 639 2174 1422 2685 1260 2645 2635 1501 821 585 847 2885 968 1756 454 3176 1987 490 2514 1656 2537 1456 1290 1605 3229 13 1195 
85,639 427 3078 2039 412 3178 2024 989 1693 3248 898 18 1786 968 2464 2547 1013 2144 697 662 1193 2536 1677 1072 333 2818 1793 3032 1949 3021 457 1956 2108 2622 3229 77 2013 750 2940 2706 1835 2125 1386 1443 2549 3071 365 705 465 1255 
86,1034 1922 2111 2470 2350 2805 545 307 266 0 2651 2320 2885 259 712 294 964 3118 3189 2473 1575 2955 1237 1941 814 475 465 2299 2958 2437 2380 748 2724 760 949 296 98 1656 1386 2741 1706 1976 1529 1152 1770 958 1268 3236 1307 1531 
87,2885 2652 2127 1714 2470 745 2350 2964 2962 2111 3207 697 1818 272 1386 1230 1573 1197 1034 2487 296 3090 2514 2022 2855 3202 1619 1920 1568 468 3241 3159 2940 465 2351 2757 1417 3229 1292 706 1423 307 770 1643 1857 2690 1430 176 1922 684 
88,2958 2401 1292 2070 2087 1872 98 151 2232 147 1685 719 1575 698 1837 2235 2133 234 43 1706 1936 1855 1259 1544 1804 1185 814 2103 2466 2193 1840 2470 2395 588 243 1681 1268 240 2862 677 1455 2885 3056 1864 1612 964 1446 981 1533 150 
89,2902 486 275 3079 471 3030 865 1130 637 2537 1784 1868 1127 1195 2862 2521 505 706 1353 988 2232 1681 2455 719 2291 454 2295 1987 2117 1119 147 371 332 895 1575 960 2685 2174 3186 2350 443 1474 1185 1871 2845 847 783 3220 370 1412 
90,1063 1281 1194 2144 3242 830 422 2549 2086 1198 845 3158 122 1517 412 2190 1020 2411 2841 2339 2445 1159 396 2173 1506 1053 706 682 2088 1339 1662 259 1586 3142 284 128 1452 1336 2630 1430 2677 750 3178 331 1185 2047 702 1462 1189 2568 
91,2111 2182 2470 2350 2320 1213 2937 677 294 405 1137 2810 1770 755 1804 2270 1268 2217 2726 1941 3189 2955 266 553 1861 2885 525 651 2499 2365 590 2652 566 1055 595 1575 734 1152 868 738 2302 2385 1475 2958 921 1389 1377 1362 1106 465 
92,1281 2411 682 845 1529 1723 1020 1462 1762 128 2088 1821 2086 197 3158 422 1972 1006 1063 2788 1339 2419 2522 2127 1340 122 396 1927 425 2702 468 2107 1269 2977 2173 1194 2002 2071 745 2817 1517 3090 1641 1094 1103 1212 1530 199 863 3142 
93,677 2111 1804 98 1941 1475 266 2958 1362 1549 2470 1034 43 3189 405 958 1055 553 2805 163 964 2320 2182 1213 1575 2810 1377 1612 1558 2217 1268 2193 720 2350 651 1292 788 1822 2380 981 1048 2070 3089 1706 2799 1770 2724 1922 431 2385 
94,938 119 2499 3194 987 553 2258 1268 954 2541 2841 319 3181 2022 2406 1371 3210 1855 1518 59 1861 214 1896 45 2217 2930 866 1964 2810 2631 2750 14 2431 2866 2885 1129 755 1812 1071 957 1857 856 465 2262 990 1474 1754 676 91 2602 
95,2173 1020 2977 1339 468 331 3142 845 1846 122 682 706 2522 2538 1194 1063 954 2002 2651 422 1723 2262 2788 938 1531 1281 1165 1168 863 1158 2411 2071 2811 2887 3241 2817 856 1517 2309 1006 3158 1909 1896 2962 197 71 2086 128 2113 1575 
96,2464 1575 1455 275 1193 719 1185 2805 698 865 2312 465 1034 2537 2024 2299 1681 1307 1386 1949 1868 2022 333 2380 2193 1013 2814 2940 2885 2547 968 3178 981 412 3209 1793 2039 2320 147 1200 3127 712 98 457 417 2836 1693 18 1770 3078 
97,1470 2171 1991 2541 2022 100 2350 1045 1386 2320 2616 266 517 521 2885 1197 3241 936 1956 942 1818 748 2937 2880 91 2470 868 702 870 2652 470 1737 596 2353 987 2799 1612 2726 192 754 761 2435 926 2179 1060 3209 1348 2850 1817 168 
98,465 2320 2652 2885 1443 2350 1386 2937 2022 2883 1770 3064 2750 12 2726 2696 814 1973 2488 2464 2640 2176 1864 1292 2875 2227 3132 517 2790 964 2470 1200 2111 100 1651 1964 115 423 1575 644 1268 2541 2384 2401 1784 2308 91 1956 346 2325 
99,1575 865 275 1770 1784 1196 1127 2117 2537 1868 1185 2845 2470 892 2527 2455 1881 2463 2460 783 2320 2570 719 1455 2382 1652 2350 1150 294 1353 1200 1170 1887 2306 2674 1192 3187 3031 1226 3049 2971 2862 358 1722 2340 976 1567 1130 988 3052 
100,3236 2320 1770 491 1268 1941 2810 1443 2464 2470 1245 465 18 1784 1579 1102 3209 2885 824 380 1193 1213 609 2012 3189 1567 1357 517 1065 1386 3049 1200 2022 767 255 1939 2760 2750 2541 2350 521 644 385 2463 2888 338 1377 1060 1362 163 
